timestamp,x,y,z
1507516,-0.122,0.244,-0.061
1508519,-0.183,0.122,0.0
1509523,-0.488,0.366,0.122
1510529,-0.549,0.305,0.0
1511535,1.099,0.0,0.0
1512539,-0.244,0.183,-0.061
1513543,-1.038,-0.061,1.099
1514546,2.319,-0.122,0.244
1515552,0.122,0.122,-0.122
1516556,0.305,0.549,-0.366
1517561,0.977,0.061,0.122
1518565,0.0,0.122,-0.061
1519571,-0.122,0.244,-0.061
1520575,-2.38,1.526,-2.625
1521578,-5.798,0.916,-0.488
1522583,1.16,0.244,0.061
1523588,-1.282,0.977,0.183
1524592,-2.991,0.488,0.0
1525597,-1.099,0.305,0.0
1526601,-0.305,0.488,0.061
1527606,-0.305,0.244,15.564
1528610,-0.183,0.244,0.061
1529615,-0.122,0.122,0.0
1530620,-0.061,0.183,-0.061
1531624,-0.061,0.183,0.061
1532627,-3.418,0.732,-0.244
1533630,-4.272,0.854,0.061
1534633,-0.977,0.061,-0.122
1535638,3.174,-0.305,0.122
1536643,0.671,0.0,0.0
1537647,-1.16,0.244,-0.122
1538652,-0.549,0.305,0.122
1539656,0.366,0.183,0.0
1540661,-1.648,0.671,0.305
1541665,-0.916,0.244,0.122
1542670,-0.488,0.305,-0.061
1543675,0.183,0.183,0.0
1544680,7.263,1.099,-0.366
1545685,1.038,-0.183,0.0
1546689,0.305,0.061,-0.061
1547692,-0.244,0.183,-0.061
1548696,-0.244,0.244,-0.061
1549701,-0.122,0.122,0.0
1550705,-3.906,1.282,-0.427
1551712,-0.366,0.366,0.0
1552715,-0.244,0.183,0.0
1553719,0.0,0.244,0.0
1554722,5.249,-0.977,0.061
1555727,-3.784,-0.671,-0.305
1556730,-0.244,0.122,0.122
1557733,-2.136,-0.671,0.366
1558736,0.122,0.122,0.0
1559740,6.653,-1.16,0.549
1560744,-0.671,0.0,0.061
1561748,-0.671,0.366,0.061
1562753,-0.122,0.244,-0.183
1563758,0.488,-0.061,0.183
1564760,0.061,0.244,-0.122
1565764,1.587,-0.183,0.183
1566769,-3.906,0.488,-0.244
1567772,-0.854,0.61,-0.244
1568777,2.502,-0.122,0.183
1569780,-0.427,0.305,-0.061
1570784,-0.732,0.244,0.061
1571787,-3.357,0.427,0.671
1572791,-0.793,0.244,-0.183
1573796,2.136,-0.305,0.061
1574800,1.709,0.0,0.0
1575803,-1.587,0.244,0.061
1576807,-2.625,-0.061,0.183
1577813,-0.244,0.061,-0.244
1578818,1.16,0.0,-0.244
1579821,-0.61,0.183,0.0
1580826,0.732,0.0,-0.244
1581829,-0.183,0.244,0.122
1582835,1.099,0.305,0.0
1583839,-2.808,0.488,-0.122
1584843,0.305,0.183,0.0
1585847,0.061,0.244,0.0
1586853,0.061,0.183,-0.061
1587857,0.0,0.122,-0.061
1588862,-0.183,0.244,0.061
1589866,0.366,0.366,0.061
1590870,0.061,0.122,-0.122
1591874,-0.183,0.183,-0.122
1592879,-0.671,0.305,-0.122
1593883,0.366,0.122,0.0
1594887,-0.244,0.183,-0.061
1595891,-0.549,0.305,0.0
1596896,-1.282,0.061,0.671
1597899,-7.08,1.831,-0.549
1598904,9.949,-1.282,0.122
1599908,-5.066,2.38,0.671
1600912,0.061,0.427,0.122
1601916,1.831,0.305,-0.183
1602920,-0.732,0.305,0.061
1603924,-5.615,1.16,0.977
1604927,1.343,-0.122,-0.366
1605932,0.488,0.061,0.061
1606936,0.366,0.305,0.061
1607940,0.305,0.183,0.061
1608943,0.488,0.549,0.305
1609947,0.854,0.183,0.183
1610950,-0.61,0.488,0.122
1611956,-0.122,0.122,0.0
1612960,-0.122,0.244,0.0
1613966,1.526,-0.061,0.244
1614970,-1.099,1.099,-0.305
1615975,1.16,0.244,0.244
1616980,1.221,0.488,0.549
1617985,0.183,0.0,-0.183
1618991,0.0,0.183,0.0
1619995,0.793,-0.183,-0.244
1621000,-2.93,0.671,0.793
1622004,3.723,-0.793,0.0
1623009,2.258,-0.183,-0.977
1624013,-0.122,0.427,0.0
1625017,0.061,0.183,-0.122
1626021,0.427,0.305,0.0
1627025,-0.427,0.305,0.183
1628029,1.099,0.427,0.061
1629033,0.183,0.183,-0.061
1630037,-0.732,0.183,1.404
1631040,-0.732,0.183,-0.061
1632044,-2.747,0.854,0.671
1633049,18.25,-2.502,5.066
1634053,1.709,0.366,0.305
1635059,-4.578,1.526,-2.075
1636063,4.822,2.136,0.793
1637068,-4.15,0.305,-0.916
1638072,0.549,0.732,-0.122
1639076,-1.709,0.244,-0.366
1640081,0.977,0.427,0.183
1641085,-58.533,-5.188,-2.502
1642090,16.785,0.793,1.099
1643094,5.066,0.061,0.488
1644098,-0.305,0.0,0.0
1645103,1.77,-0.427,0.61
1646107,-0.244,-0.244,0.183
1647113,-2.197,-0.061,-0.122
1648118,-0.549,-0.183,0.183
1649124,2.502,-0.061,0.427
1650130,-0.122,-0.061,0.061
1651134,2.502,1.404,-1.038
1652138,-1.953,-1.282,0.122
1653142,-0.732,0.61,-0.305
1654147,0.061,0.183,0.061
1655151,0.061,0.0,0.061
1656155,0.0,0.305,0.0
1657159,-0.671,0.61,-0.488
1658164,0.61,0.427,0.061
1659169,-0.122,0.305,-0.305
1660173,-0.244,0.183,-0.061
1661178,-0.183,0.183,0.0
1662181,-0.061,0.244,-0.061
1663186,-0.122,0.183,-0.061
1664190,-0.122,0.244,0.0
1665193,-0.183,0.244,-0.061
1666198,0.488,0.305,-0.061
1667203,0.427,0.366,0.061
1668207,1.343,0.732,0.0
1669212,-0.061,0.366,-0.061
1670216,0.732,-0.183,0.244
1671221,-0.061,0.244,-0.122
1672225,-0.122,0.122,-0.061
1673228,-0.183,0.305,-0.122
1674232,-0.183,0.244,-0.122
1675236,-0.488,-0.244,0.427
1676241,-1.831,-0.61,-0.122
1677246,0.061,0.244,0.061
1678249,-1.587,-0.244,-0.305
1679254,6.287,2.808,1.77
1680258,-0.366,-0.183,0.122
1681263,-0.183,-0.122,0.793
1682266,0.0,0.305,-0.061
1683270,0.061,0.305,0.0
1684275,0.061,0.061,0.366
1685279,-0.549,0.122,0.0
1686283,-0.793,0.732,-0.61
1687287,-0.183,0.0,0.0
1688291,-0.061,0.244,0.0
1689295,1.343,0.305,0.549
1690299,-0.061,0.427,-0.183
1691302,-0.122,0.183,-0.061
1692307,-0.122,0.122,0.0
1693312,-0.061,0.305,-0.061
1694316,-0.061,0.305,0.0
1695320,-0.061,0.427,-0.183
1696324,-0.061,-0.122,0.122
1697328,1.77,0.305,0.977
1698333,-0.183,0.244,-0.061
1699337,-0.061,0.183,0.0
1700342,-0.061,0.244,0.0
1701346,0.0,0.061,0.122
1702351,-0.183,0.244,-0.061
1703355,0.0,0.244,-0.061
1704359,-0.061,0.183,0.0
1705363,0.061,0.305,-0.061
1706367,0.671,0.183,0.427
